Date;Time;Speed;Course;Altitude;Longitude;Latitude;Temperature;Voltage
21.11.24;06:13:07;1.2;12.0;195.0;49.309425;55.7641033;27.68;16.2
21.11.24;06:13:08;1.0;10.0;194.0;49.3094283;55.7641033;27.68;16.2
21.11.24;06:13:09;0.7;9.0;195.0;49.3094366;55.7640983;27.68;16.2
21.11.24;06:13:11;0.7;32.0;194.0;49.30944;55.7641;27.68;16.2
21.11.24;06:13:12;0.7;359.0;194.0;49.3094383;55.7641;27.68;16.2
21.11.24;06:13:14;0.7;15.0;194.0;49.3094383;55.7641016;27.68;16.2
21.11.24;06:13:16;0.7;66.0;194.0;49.3094466;55.7641066;27.68;16.2
21.11.24;06:13:17;0.8;66.0;194.0;49.3094616;55.7641133;27.68;16.2
21.11.24;06:13:19;0.8;68.0;194.0;49.3094666;55.7641166;27.68;16.2
21.11.24;06:13:21;1.2;97.0;194.0;49.3094666;55.7641216;27.68;16.2
21.11.24;06:13:22;1.2;105.0;194.0;49.3094683;55.7641216;27.68;16.2
21.11.24;06:13:23;2.0;107.0;194.0;49.30947;55.7641216;27.68;16.2
21.11.24;06:13:24;2.0;116.0;194.0;49.309465;55.76412;27.68;16.2
21.11.24;06:13:25;2.0;125.0;194.0;49.3094616;55.76412;27.68;16.2
21.11.24;06:13:26;2.0;120.0;194.0;49.3094666;55.76412;27.68;16.2
21.11.24;06:13:28;1.0;121.0;194.0;49.3094683;55.7641183;27.68;16.2
21.11.24;06:13:29;1.0;103.0;194.0;49.3094716;55.7641183;27.68;16.2
21.11.24;06:13:31;0.8;97.0;194.0;49.3094733;55.7641183;27.68;16.2
21.11.24;06:13:32;0.7;105.0;194.0;49.3094733;55.76412;27.68;16.2
21.11.24;06:13:34;0.7;63.0;194.0;49.3094666;55.7641216;27.68;16.2
21.11.24;06:13:36;0.7;258.0;194.0;49.3094516;55.7641166;27.68;16.2
21.11.24;06:13:38;0.7;264.0;194.0;49.3094383;55.764115;27.68;16.2
21.11.24;06:13:40;0.7;263.0;194.0;49.30944;55.764115;27.68;16.2
21.11.24;06:13:41;0.7;200.0;194.0;49.3094383;55.7641116;27.68;16.2
21.11.24;06:13:42;0.7;216.0;194.0;49.3094366;55.7641133;27.68;16.2
21.11.24;06:13:43;0.7;328.0;194.0;49.3094366;55.7641133;27.68;16.2
21.11.24;06:13:44;0.7;201.0;194.0;49.3094366;55.7641116;27.68;16.2
21.11.24;06:13:46;0.7;196.0;194.0;49.3094366;55.76411;27.68;16.2
21.11.24;06:13:48;0.7;169.0;194.0;49.3094466;55.7641083;27.68;16.2
21.11.24;06:13:50;0.7;160.0;194.0;49.3094483;55.7641083;27.68;16.2
21.11.24;06:13:51;0.7;159.0;194.0;49.3094566;55.7641066;27.68;16.2
21.11.24;06:13:53;0.7;189.0;194.0;49.3094566;55.7641066;27.68;16.2
21.11.24;06:13:55;0.7;240.0;194.0;49.3094566;55.764105;27.68;16.2
21.11.24;06:13:56;0.7;294.0;194.0;49.3094566;55.7641066;27.68;16.2
21.11.24;06:13:57;0.7;286.0;194.0;49.309455;55.7641083;27.68;16.2
21.11.24;06:13:58;0.7;270.0;194.0;49.3094516;55.7641066;27.68;16.2
21.11.24;06:14:00;0.7;273.0;194.0;49.3094483;55.76411;27.68;16.2
21.11.24;06:14:02;0.7;259.0;194.0;49.3094483;55.76411;27.68;16.2
21.11.24;06:14:03;0.7;254.0;194.0;49.3094483;55.7641116;27.68;16.2
21.11.24;06:14:04;0.7;254.0;194.0;49.3094483;55.7641116;27.68;16.2
21.11.24;06:14:05;0.7;254.0;194.0;49.3094466;55.76411;27.68;16.2
21.11.24;06:14:06;0.7;254.0;194.0;49.3094466;55.76411;27.68;16.2
